expiry,strike,call_delta,data_status
2026-09-30,3395,0.55,synthetic
2026-09-30,3450,0.50,synthetic
2026-09-30,3500,0.45,synthetic
2026-10-31,3425,0.55,synthetic
2026-10-31,3480,0.50,synthetic
2026-10-31,3535,0.45,synthetic
2026-11-30,3445,0.55,synthetic
2026-11-30,3500,0.50,synthetic
2026-11-30,3560,0.45,synthetic
2026-12-31,3450,0.55,synthetic
2026-12-31,3505,0.50,synthetic
2026-12-31,3565,0.45,synthetic
2027-01-31,3450,0.55,synthetic
2027-01-31,3505,0.50,synthetic
2027-01-31,3565,0.45,synthetic
2027-02-28,3450,0.55,synthetic
2027-02-28,3505,0.50,synthetic
2027-02-28,3565,0.45,synthetic
2027-03-31,3455,0.55,synthetic
2027-03-31,3515,0.50,synthetic
2027-03-31,3575,0.45,synthetic
2027-04-30,3455,0.55,synthetic
2027-04-30,3515,0.50,synthetic
2027-04-30,3575,0.45,synthetic
2027-05-31,3460,0.55,synthetic
2027-05-31,3520,0.50,synthetic
2027-05-31,3580,0.45,synthetic
2027-06-30,3470,0.55,synthetic
2027-06-30,3530,0.50,synthetic
2027-06-30,3590,0.45,synthetic
2027-07-31,3495,0.55,synthetic
2027-07-31,3555,0.50,synthetic
2027-07-31,3620,0.45,synthetic
2027-08-31,3525,0.55,synthetic
2027-08-31,3590,0.50,synthetic
2027-08-31,3655,0.45,synthetic
